species,cultural_service_charismatic_species,ecotourism,carrion_control,pollination,top_down_regulation,seed_dispersal,pest_and_disease_control,nutrient_transporting_horizontal_and_vertical,ecosystem_engineering,rodent_control,disease_sentinelling
Abrawayaomys ruschii,0,0,0,0,0,0,0,0,0,0,0
Akodon azarae,0,0,0,0,0,0,1,0,0,0,1
Akodon cursor,0,0,0,0,0,0,1,0,0,0,0
Akodon lindberghi,0,0,0,0,0,0,1,0,0,0,0
Akodon montensis,0,0,0,1,0,0,1,0,0,0,0
Akodon mystax,0,0,0,0,0,0,1,0,0,0,0
Akodon paranaensis,0,0,0,0,0,0,1,0,0,0,0
Akodon reigi,0,0,0,0,0,0,1,0,0,0,0
Akodon sanctipaulensis,0,0,0,0,0,0,1,0,0,0,0
Akodon serrensis,0,0,0,0,0,0,1,0,0,0,0
Alouatta belzebul,1,0,0,0,0,1,0,0,0,0,1
Alouatta caraya,1,0,0,0,0,1,0,0,0,0,1
Alouatta discolor,1,0,0,0,0,1,0,0,0,0,1
Alouatta guariba,1,0,0,0,0,1,0,0,0,0,1
Alouatta juara,1,0,0,0,0,1,0,0,0,0,1
Alouatta macconnelli,1,0,0,0,0,1,0,0,0,0,1
Alouatta nigerrima,1,0,0,0,0,1,0,0,0,0,1
Alouatta puruensis,1,0,0,0,0,1,0,0,0,0,1
Alouatta seniculus,1,0,0,0,0,1,0,0,0,0,1
Alouatta ululata,1,0,0,0,0,1,0,0,0,0,1
Ametrida centurio,0,0,0,0,0,1,0,0,0,0,0
Anoura caudifer,0,0,0,1,0,1,0,0,0,0,0
Anoura geoffroyi,0,0,0,1,0,1,0,0,0,0,0
Aotus azarae,1,0,0,0,0,1,0,0,0,0,0
Aotus nancymaae,1,0,0,0,0,1,0,0,0,0,0
Aotus nigriceps,1,0,0,0,0,1,0,0,0,0,0
Aotus trivirgatus,1,0,0,0,0,1,0,0,0,0,0
Aotus vociferans,1,0,0,0,0,1,0,0,0,0,0
Artibeus concolor,0,0,0,1,0,1,0,0,0,0,0
Artibeus fimbriatus,0,0,0,1,0,1,0,0,0,0,0
Artibeus lituratus,0,0,0,1,0,1,0,0,0,0,0
Artibeus obscurus,0,0,0,0,0,1,0,0,0,0,0
Artibeus planirostris,0,0,0,1,0,1,0,0,0,0,0
Ateles belzebuth,1,0,0,0,0,1,0,0,0,0,0
Ateles chamek,1,0,0,0,0,1,0,0,0,0,0
Ateles marginatus,1,0,0,0,0,1,0,0,0,0,0
Ateles paniscus,1,0,0,0,0,1,0,0,0,0,0
Atelocynus microtis,0,0,0,0,0,0,0,0,0,1,0
Bassaricyon alleni,1,0,0,0,0,1,0,0,0,0,0
Bibimys labiosus,0,0,0,0,0,0,0,0,0,0,0
Blarinomys breviceps,0,0,0,0,0,0,1,0,0,0,0
Blastocerus dichotomus,1,1,0,0,0,0,0,1,0,0,1
Brachyteles arachnoides,1,1,0,1,0,1,0,0,0,0,0
Brachyteles hypoxanthus,1,0,0,1,0,1,0,0,0,0,0
Bradypus torquatus,1,0,0,0,0,0,0,0,0,0,0
Bradypus tridactylus,1,0,0,0,0,0,0,0,0,0,1
Bradypus variegatus,1,0,0,0,0,0,0,0,0,0,0
Brucepattersonius griserufescens,0,0,0,0,0,0,1,0,0,0,0
Brucepattersonius igniventris,0,0,0,0,0,0,1,0,0,0,0
Brucepattersonius iheringi,0,0,0,0,0,0,1,0,0,0,0
Brucepattersonius soricinus,0,0,0,0,0,0,1,0,0,0,0
Cabassous tatouay,1,0,0,0,0,1,1,1,1,0,1
Cabassous unicinctus,1,0,0,0,0,1,1,1,1,0,1
Cacajao ayresi,1,0,0,0,0,1,0,0,0,0,0
Cacajao calvus,1,1,0,0,0,1,0,0,0,0,0
Cacajao hosomi,1,0,0,0,0,1,0,0,0,0,0
Cacajao melanocephalus,1,0,0,0,0,1,0,0,0,0,0
Callibella humilis,1,0,0,0,0,0,0,0,0,0,0
Callicebus barbarabrownae,1,0,0,0,0,1,0,0,0,0,0
Callicebus coimbrai,1,0,0,0,0,1,0,0,0,0,0
Callicebus melanochir,1,0,0,0,0,1,0,0,0,0,0
Callicebus nigrifrons,1,0,0,0,0,1,0,0,0,0,0
Callicebus personatus,1,0,0,0,0,1,0,0,0,0,0
Callimico goeldii,1,0,0,0,0,1,0,0,0,0,0
Callistomys pictus,0,0,0,0,0,1,0,0,0,0,0
Callithrix aurita,1,0,0,0,0,1,0,0,0,0,0
Callithrix flaviceps,1,0,0,1,0,1,0,0,0,0,0
Callithrix geoffroyi,1,0,0,0,0,1,0,0,0,0,0
Callithrix jacchus,1,0,0,0,0,1,0,0,0,0,1
Callithrix kuhlii,1,0,0,1,0,1,0,0,0,0,0
Callithrix penicillata,1,0,0,0,0,1,0,0,0,0,0
Calomys callosus,0,0,0,0,0,0,0,0,0,0,0
Calomys expulsus,0,0,0,0,0,0,0,0,0,0,0
Calomys hummelincki,0,0,0,0,0,0,0,0,0,0,0
Calomys laucha,0,0,0,0,0,0,0,0,0,0,1
Calomys tener,0,0,0,0,0,0,0,0,0,0,0
Calomys tocantinsi,0,0,0,0,0,0,0,0,0,0,0
Caluromys lanatus,0,0,0,1,0,1,0,0,0,0,0
Caluromys philander,0,0,0,1,0,1,0,0,0,0,0
Caluromysiops irrupta,0,0,0,1,0,0,0,0,0,0,0
Carollia benkeithi,0,0,0,0,0,1,0,0,0,0,0
Carollia brevicauda,0,0,0,0,0,1,0,0,0,0,0
Carollia perspicillata,0,0,0,1,0,1,0,0,0,0,1
Carterodon sulcidens,0,0,0,0,0,0,0,1,0,0,0
Cavia aperea,1,0,0,0,0,0,0,0,0,0,1
Cavia fulgida,1,0,0,0,0,0,0,0,0,0,0
Cavia intermedia,1,0,0,0,0,0,0,0,0,0,0
Cavia magna,1,0,0,0,0,0,0,0,0,0,0
Cebuella niveiventris,1,0,0,0,0,0,0,0,0,0,0
Cebuella pygmaea,1,0,0,0,0,0,0,0,0,0,0
Cebus albifrons,1,0,0,0,0,1,0,0,0,0,0
Cebus castaneus,1,0,0,0,0,1,0,0,0,0,0
Cebus cuscinus,1,0,0,0,0,1,0,0,0,0,0
Cebus kaapori,1,0,0,0,0,1,0,0,0,0,0
Cebus olivaceus,1,0,0,0,0,1,0,0,0,0,0
Cebus unicolor,1,0,0,0,0,1,0,0,0,0,0
Centronycteris maximiliani,0,0,0,0,0,0,1,1,0,0,0
Cerdocyon thous,1,0,1,0,0,1,0,0,0,1,1
Cerradomys maracajuensis,0,0,0,0,0,0,0,0,0,0,0
Cerradomys marinhus,0,0,0,0,0,0,0,0,0,0,0
Cerradomys scotti,0,0,0,0,0,0,0,0,0,0,0
Cerradomys subflavus,0,0,0,0,0,0,0,0,0,0,0
Chaetomys subspinosus,1,0,0,0,0,0,0,0,0,0,0
Cheracebus lucifer,1,0,0,0,0,1,0,0,0,0,0
Cheracebus lugens,1,0,0,0,0,1,0,0,0,0,0
Cheracebus regulus,1,0,0,0,0,1,0,0,0,0,0
Cheracebus torquatus,1,0,0,0,0,1,0,0,0,0,0
Chiroderma doriae,0,0,0,0,0,1,0,0,0,0,0
Chiroderma trinitatum,0,0,0,0,0,1,0,0,0,0,0
Chiroderma villosum,0,0,0,0,0,1,0,0,0,0,0
Chiroderma vizottoi,0,0,0,0,0,1,0,0,0,0,0
Chironectes minimus,0,0,0,0,0,0,0,0,0,0,0
Chiropotes albinasus,1,0,0,0,0,1,0,0,0,0,0
Chiropotes chiropotes,1,0,0,0,0,1,0,0,0,0,0
Chiropotes sagulatus,1,0,0,0,0,1,0,0,0,0,0
Chiropotes satanas,1,0,0,0,0,1,0,0,0,0,0
Chiropotes utahickae,1,0,0,0,0,1,0,0,0,0,0
Choeroniscus minor,0,0,0,1,0,1,0,0,0,0,0
Choloepus didactylus,1,0,0,0,0,0,0,0,0,0,1
Choloepus hoffmanni,1,0,0,0,0,0,0,0,0,0,0
Chrotopterus auritus,0,0,0,0,0,1,0,0,0,0,0
Chrysocyon brachyurus,1,1,0,0,1,1,0,0,0,1,0
Clyomys laticeps,0,0,0,0,0,0,0,1,0,0,0
Coendou baturitensis,1,0,0,0,0,0,0,0,0,0,0
Coendou bicolor,1,0,0,0,0,0,0,0,0,0,0
Coendou insidiosus,1,0,0,0,0,0,0,0,0,0,0
Coendou melanurus,1,0,0,0,0,0,0,0,0,0,0
Coendou nycthemera,1,0,0,0,0,0,0,0,0,0,0
Coendou prehensilis,1,0,0,0,0,0,0,0,0,0,0
Coendou roosmalenorum,1,0,0,0,0,0,0,0,0,0,0
Coendou speratus,1,0,0,0,0,0,0,0,0,0,0
Coendou spinosus,1,0,0,0,0,0,0,0,0,0,0
Conepatus chinga,1,0,1,0,0,0,0,0,0,0,0
Conepatus semistriatus,1,0,1,0,0,0,0,0,0,0,1
Cormura brevirostris,0,0,0,0,0,0,1,0,0,0,0
Cryptonanus agricolai,0,0,0,0,0,1,0,0,0,0,0
Cryptonanus chacoensis,0,0,0,0,0,1,0,0,0,0,0
Cryptonanus guahybae,0,0,0,0,0,1,0,0,0,0,0
Ctenomys boliviensis,0,0,0,0,0,0,0,1,1,0,0
Ctenomys flamarioni,1,0,0,0,0,0,0,1,1,0,0
Ctenomys ibicuiensis,0,0,0,0,0,0,0,1,1,0,0
Ctenomys lami,0,0,0,0,0,0,0,1,1,0,0
Ctenomys minutus,0,0,0,0,0,0,0,1,1,0,0
Ctenomys torquatus,0,0,0,0,0,0,0,1,1,0,0
Cuniculus paca,1,0,0,0,0,1,0,0,0,0,1
Cyclopes didactylus,1,0,0,0,0,0,0,0,0,0,0
Cynomops abrasus,0,0,0,0,0,0,1,0,0,0,0
Cynomops greenhalli,0,0,0,0,0,0,1,0,0,0,0
Cynomops milleri,0,0,0,0,0,0,1,1,0,0,0
Cynomops paranus,0,0,0,0,0,0,1,0,0,0,0
Cynomops planirostris,0,0,0,0,0,0,1,0,0,0,0
Cyttarops alecto,0,0,0,0,0,0,1,0,0,0,0
Dactylomys boliviensis,0,0,0,0,0,0,0,0,0,0,0
Dactylomys dactylinus,0,0,0,0,0,0,0,0,0,0,0
Dasyprocta azarae,1,0,0,0,0,1,0,0,0,0,1
Dasyprocta croconota,1,0,0,0,0,1,0,0,0,0,0
Dasyprocta fuliginosa,1,0,0,0,0,1,0,0,0,0,0
Dasyprocta iacki,1,0,0,0,0,1,0,0,0,0,0
Dasyprocta leporina,1,1,0,0,0,1,0,0,0,0,1
Dasyprocta prymnolopha,1,0,0,0,0,1,0,0,0,0,0
Dasyprocta variegata,1,0,0,0,0,1,0,0,0,0,0
Dasypus hybridus,1,0,1,0,0,1,1,1,1,0,1
Dasypus kappleri,1,0,1,0,0,1,1,1,1,0,1
Dasypus novemcinctus,1,0,1,0,0,1,1,1,1,0,1
Dasypus septemcinctus,1,0,1,0,0,1,1,1,1,0,1
Delomys collinus,0,0,0,0,0,0,0,0,0,0,0
Delomys dorsalis,0,0,0,0,0,0,0,0,0,0,0
Delomys sublineatus,0,0,0,0,0,0,0,0,0,0,0
Deltamys kempi,0,0,0,0,0,0,0,0,0,0,0
Dermanura anderseni,0,0,0,0,0,1,0,1,0,0,0
Dermanura cinerea,0,0,0,0,0,1,0,1,0,0,0
Dermanura glauca,0,0,0,0,0,1,0,1,0,0,0
Dermanura gnoma,0,0,0,0,0,1,0,1,0,0,0
Dermanura phaeotis,0,0,0,1,0,1,0,0,0,0,0
Desmodus rotundus,0,0,0,0,0,0,0,0,0,0,1
Diaemus youngii,0,0,0,0,0,0,0,0,0,0,0
Diclidurus albus,0,0,0,0,0,0,1,0,0,0,0
Diclidurus ingens,0,0,0,0,0,0,1,0,0,0,0
Diclidurus isabella,0,0,0,0,0,0,1,0,0,0,0
Diclidurus scutatus,0,0,0,0,0,0,1,0,0,0,0
Didelphis albiventris,0,0,1,1,0,1,0,0,0,0,1
Didelphis aurita,0,0,1,1,0,1,0,0,0,0,1
Didelphis imperfecta,0,0,0,0,0,1,0,0,0,0,0
Didelphis marsupialis,0,0,1,1,0,0,0,0,0,0,1
Dinomys branickii,1,0,0,0,0,1,0,0,0,0,0
Diphylla ecaudata,0,0,0,0,0,0,0,0,0,0,1
Dryadonycteris capixaba,0,0,0,1,0,0,0,1,0,0,0
Drymoreomys albimaculatus,0,0,0,0,0,0,0,0,0,0,0
Echimys chrysurus,0,0,0,0,0,1,0,0,0,0,0
Echimys vieirai,0,0,0,0,0,1,0,0,0,0,0
Eira barbara,1,0,0,0,0,1,0,0,0,1,1
Eptesicus brasiliensis,0,0,0,0,0,0,1,0,0,0,0
Eptesicus chiriquinus,0,0,0,0,0,0,1,0,0,0,0
Eptesicus diminutus,0,0,0,0,0,0,1,0,0,0,0
Eptesicus furinalis,0,0,0,0,0,0,1,0,0,0,0
Eptesicus taddeii,0,0,0,0,0,0,1,0,0,0,0
Eumops auripendulus,0,0,0,0,0,0,1,0,0,0,0
Eumops bonariensis,0,0,0,0,0,0,1,0,0,0,0
Eumops dabbenei,0,0,0,0,0,0,1,0,0,0,0
Eumops delticus,0,0,0,0,0,0,1,0,0,0,0
Eumops glaucinus,0,0,0,0,0,0,1,0,0,0,0
Eumops hansae,0,0,0,0,0,0,1,0,0,0,0
Eumops maurus,0,0,0,0,0,0,1,0,0,0,0
Eumops patagonicus,0,0,0,0,0,0,1,0,0,0,0
Eumops perotis,0,0,0,0,0,0,1,0,0,0,0
Eumops trumbulli,0,0,0,0,0,0,1,0,0,0,0
Euphractus sexcinctus,1,0,0,0,0,1,1,1,1,0,1
Euryoryzomys emmonsae,0,0,0,0,0,0,0,0,0,0,0
Euryoryzomys lamia,0,0,0,0,0,0,0,0,0,0,1
Euryoryzomys macconnelli,0,0,0,0,0,0,0,0,0,0,0
Euryoryzomys nitidus,0,0,0,0,0,0,0,0,0,0,0
Euryoryzomys russatus,0,0,0,0,0,0,0,0,0,0,0
Euryzygomatomys spinosus,0,0,0,0,0,0,0,1,0,0,0
Furipterus horrens,0,0,0,0,0,0,1,0,0,0,0
Galea flavidens,1,0,0,0,0,0,0,0,0,0,0
Galea spixii,0,0,0,0,0,0,0,0,0,0,1
Galictis cuja,1,0,0,0,0,0,0,0,0,1,0
Galictis vittata,1,0,0,0,0,1,0,0,0,1,0
Gardnerycteris crenulatum,0,0,0,1,0,1,1,0,0,0,0
Glironia venusta,0,0,0,0,0,0,0,0,0,0,0
Glossophaga commissarisi,0,0,0,1,0,1,0,0,0,0,0
Glossophaga longirostris,0,0,0,1,0,1,0,0,0,0,0
Glossophaga soricina,0,0,0,1,0,1,0,0,0,0,0
Glyphonycteris behnii,0,0,0,0,0,1,0,0,0,0,0
Glyphonycteris daviesi,0,0,0,0,0,1,0,0,0,0,0
Glyphonycteris sylvestris,0,0,0,0,0,1,0,0,0,0,0
Gracilinanus agilis,0,0,0,0,0,1,0,0,0,0,1
Gracilinanus emiliae,0,0,0,0,0,1,0,0,0,0,0
Gracilinanus microtarsus,0,0,0,0,0,1,0,0,0,0,0
Graomys griseoflavus,0,0,0,0,0,0,0,0,0,0,1
Herpailurus yagouaroundi,0,0,0,0,0,0,0,0,0,1,1
Histiotus alienus,0,0,0,0,0,0,1,0,0,0,0
Histiotus velatus,0,0,0,0,0,0,1,0,0,0,0
Holochilus brasiliensis,0,0,0,0,0,0,0,0,0,0,0
Holochilus sciureus,0,0,0,0,0,0,0,0,0,0,0
Hydrochoerus hydrochaeris,1,1,0,0,0,0,0,0,0,0,1
Hyladelphys kalinowskii,0,0,1,0,0,1,1,0,0,0,0
Hylaeamys laticeps,0,0,0,0,0,0,0,0,0,0,1
Hylaeamys megacephalus,0,0,0,0,0,0,0,0,0,0,0
Hylaeamys oniscus,0,0,0,0,0,0,0,0,0,0,0
Hylaeamys perenensis,0,0,0,0,0,0,0,0,0,0,0
Hylaeamys yunganus,0,0,0,0,0,0,0,0,0,0,0
Isothrix bistriata,0,0,0,0,0,0,0,0,0,0,0
Isothrix negrensis,0,0,0,0,0,0,0,0,0,0,0
Isothrix pagurus,0,0,0,0,0,0,0,0,0,0,0
Isothrix sinnamariensis,0,0,0,0,0,0,0,0,0,0,0
Juliomys pictipes,0,0,0,0,0,1,0,0,0,0,0
Juliomys rimofrons,0,0,0,0,0,1,0,0,0,0,0
Juscelinomys candango,0,0,0,0,0,0,0,0,0,0,0
Kannabateomys amblyonyx,0,0,0,0,0,0,0,0,0,0,0
Kerodon acrobata,1,0,0,0,0,0,0,0,0,0,0
Kerodon rupestris,1,0,0,0,0,0,0,0,0,0,0
Kunsia tomentosus,0,0,0,0,0,0,0,1,0,0,0
Lagothrix lagothricha,1,0,0,0,0,1,0,0,0,0,0
Lampronycteris brachyotis,0,0,0,1,0,1,0,0,0,0,0
Lasiurus blossevillii,0,0,0,0,0,0,1,0,0,0,0
Lasiurus castaneus,0,0,0,0,0,0,1,0,0,0,0
Lasiurus cinereus,0,0,0,0,0,0,1,0,0,0,0
Lasiurus ebenus,0,0,0,0,0,0,1,0,0,0,1
Lasiurus ega,0,0,0,0,0,0,1,0,0,0,0
Lasiurus egregius,0,0,0,0,0,0,1,0,0,0,0
Lasiurus salinae,0,0,0,0,0,0,1,1,0,0,0
Leontocebus cruzlimai,1,0,0,0,0,1,0,0,0,0,0
Leontocebus fuscicollis,1,0,0,0,0,1,0,0,0,0,0
Leontocebus fuscus,1,0,0,0,0,1,0,0,0,0,0
Leontocebus nigricollis,1,0,0,0,0,1,0,0,0,0,0
Leontocebus weddelli,1,0,0,0,0,1,0,0,0,0,0
Leontopithecus caissara,1,0,0,0,0,1,0,0,0,0,0
Leontopithecus chrysomelas,1,0,0,1,0,1,0,0,0,0,0
Leontopithecus chrysopygus,1,0,0,0,0,1,0,0,0,0,0
Leontopithecus rosalia,1,0,0,1,0,1,0,0,0,0,1
Leopardus colocolo,1,0,0,0,0,0,0,0,0,1,0
Leopardus geoffroyi,1,0,0,0,0,0,0,0,0,1,0
Leopardus guttulus,1,0,0,0,0,0,0,0,0,1,0
Leopardus pardalis,1,0,0,0,0,0,0,0,0,1,1
Leopardus tigrinus,1,0,0,0,0,1,0,0,0,1,0
Leopardus wiedii,1,0,0,0,0,1,0,0,0,1,0
Lichonycteris degener,0,0,0,1,0,1,0,0,0,0,0
Lionycteris spurrelli,0,0,0,1,0,1,0,0,0,0,0
Lonchophylla bokermanni,0,0,0,1,0,0,0,0,0,0,0
Lonchophylla dekeyseri,0,0,0,1,0,0,0,0,0,0,0
Lonchophylla mordax,0,0,0,1,0,1,0,0,0,0,0
Lonchophylla peracchii,0,0,0,1,0,0,0,1,0,0,0
Lonchophylla thomasi,0,0,0,1,0,1,0,0,0,0,0
Lonchorhina aurita,0,0,0,0,0,1,0,0,0,0,0
Lonchorhina inusitata,0,0,0,0,0,0,0,0,0,0,0
Lonchothrix emiliae,0,0,0,0,0,0,0,0,0,0,0
Lophostoma brasiliense,0,0,0,0,0,1,0,0,0,0,0
Lophostoma carrikeri,0,0,0,0,0,1,0,0,0,0,0
Lophostoma schulzi,0,0,0,0,0,0,0,0,0,0,0
Lophostoma silvicolum,0,0,0,1,0,1,0,1,0,0,0
Lundomys molitor,0,0,0,0,0,0,0,0,0,0,0
Lutreolina crassicaudata,0,0,0,0,0,1,1,0,0,0,0
Lycalopex gymnocercus,1,0,0,0,0,1,0,0,0,1,0
Lycalopex vetulus,1,0,0,0,0,1,0,0,0,1,0
Macrophyllum macrophyllum,0,0,0,0,0,1,0,0,0,0,0
Makalata didelphoides,0,0,0,0,0,1,0,0,0,0,0
Makalata macrura,0,0,0,0,0,1,0,0,0,0,0
Marmosa constantiae,0,0,0,0,0,0,1,0,0,0,0
Marmosa demerarae,0,0,0,0,0,0,1,0,0,0,0
Marmosa lepida,0,0,0,0,0,1,0,0,0,0,0
Marmosa murina,0,0,0,0,0,1,0,0,0,0,1
Marmosa paraguayana,0,0,0,0,0,1,0,0,0,0,0
Marmosa regina,0,0,0,0,0,0,1,0,0,0,0
Marmosops bishopi,0,0,0,0,0,1,0,0,0,0,0
Marmosops caucae,0,0,0,0,0,1,0,0,0,0,0
Marmosops impavidus,0,0,0,0,0,1,0,0,0,0,0
Marmosops incanus,0,0,0,0,0,1,0,0,0,0,0
Marmosops neblina,0,0,0,0,0,1,0,0,0,0,0
Marmosops noctivagus,0,0,0,0,0,1,0,0,0,0,0
Marmosops ocellatus,0,0,0,0,0,1,0,0,0,0,1
Marmosops parvidens,0,0,0,0,0,1,0,0,0,0,1
Marmosops paulensis,0,0,0,0,0,1,0,0,0,0,1
Marmosops pinheiroi,0,0,0,0,0,1,0,0,0,0,1
Mazama americana,1,0,0,0,0,0,0,1,0,0,1
Mazama bororo,1,0,0,0,0,0,0,0,0,0,0
Mazama gouazoubira,1,0,0,0,0,0,0,0,0,0,1
